epoch: 0, loss: 1.261 lr: 0.05
epoch: 100, loss: 0.903 lr: 0.04549590536851684
epoch: 200, loss: 0.855 lr: 0.041701417848206836
epoch: 300, loss: 0.254 lr: 0.03849114703618168
epoch: 400, loss: 0.151 lr: 0.035739814152966405
epoch: 500, loss: 0.161 lr: 0.0333555703802535
epoch: 600, loss: 0.145 lr: 0.03126954346466542
epoch: 700, loss: 0.142 lr: 0.029429075927015894
epoch: 800, loss: 0.129 lr: 0.027793218454697056
epoch: 900, loss: 0.128 lr: 0.02632964718272775
epoch: 1000, loss: 0.127 lr: 0.02501250625312656
epoch: 1100, loss: 0.124 lr: 0.023820867079561697
epoch: 1200, loss: 0.120 lr: 0.02273760800363802
epoch: 1300, loss: 0.120 lr: 0.02174858634188778
epoch: 1400, loss: 0.121 lr: 0.020842017507294707
epoch: 1500, loss: 0.120 lr: 0.020008003201280513
epoch: 1600, loss: 0.119 lr: 0.019238168526356292
epoch: 1700, loss: 0.119 lr: 0.018525379770285292
epoch: 1800, loss: 0.119 lr: 0.017863522686673815
epoch: 1900, loss: 0.119 lr: 0.017247326664367024
epoch: 2000, loss: 0.119 lr: 0.016672224074691565
epoch: 2100, loss: 0.119 lr: 0.016134236850596968
epoch: 2200, loss: 0.119 lr: 0.015629884338855895
epoch: 2300, loss: 0.119 lr: 0.015156107911488331
epoch: 2400, loss: 0.119 lr: 0.014710208884966167
epoch: 2500, loss: 0.119 lr: 0.014289797084881395
epoch: 2600, loss: 0.119 lr: 0.01389274798555154
epoch: 2700, loss: 0.119 lr: 0.013517166801838336
epoch: 2800, loss: 0.119 lr: 0.013161358252171624
epoch: 2900, loss: 0.119 lr: 0.012823800974608874
epoch: 3000, loss: 0.119 lr: 0.012503125781445364
epoch: 3100, loss: 0.119 lr: 0.012198097096852892
epoch: 3200, loss: 0.119 lr: 0.011907597046915934
epoch: 3300, loss: 0.119 lr: 0.011630611770179114
epoch: 3400, loss: 0.119 lr: 0.011366219595362582
epoch: 3500, loss: 0.119 lr: 0.011113580795732384
epoch: 3600, loss: 0.119 lr: 0.010871928680147858
epoch: 3700, loss: 0.119 lr: 0.010640561821664184
epoch: 3800, loss: 0.119 lr: 0.010418837257762034
epoch: 3900, loss: 0.119 lr: 0.010206164523372118
epoch: 4000, loss: 0.119 lr: 0.010002000400080015
epoch: 4100, loss: 0.119 lr: 0.009805844283192783
epoch: 4200, loss: 0.119 lr: 0.009617234083477593
epoch: 4300, loss: 0.119 lr: 0.009435742592942064
epoch: 4400, loss: 0.119 lr: 0.009260974254491572
epoch: 4500, loss: 0.119 lr: 0.009092562284051647
epoch: 4600, loss: 0.119 lr: 0.00893016610108948
epoch: 4700, loss: 0.119 lr: 0.008773469029654325
epoch: 4800, loss: 0.119 lr: 0.00862217623728229
epoch: 4900, loss: 0.119 lr: 0.008476012883539583
--- 29.128910303115845 seconds ---
